CID,TABCD,LCD,CLASS,TCD,STCD,JUNCTIONNUMBER,RNID,N1ID,N2ID,POL_LCD,OTH_LCD,SEG_LCD,ROA_LCD,INPOS,INNEG,OUTPOS,OUTNEG,PRESENTPOS,PRESENTNEG,DIVERSIONPOS,DIVERSIONNEG,XCOORD,YCOORD,INTERRUPTSROAD,URBAN,JNID
25,1,22457,P,1,11,,,59513,,80,,,22454,1,1,1,1,1,1,,,1598789,4130414,,0,
25,1,21531,P,1,11,,48419,43817,,23,,,21530,1,1,1,1,1,1,,,1142865,4488405,,0,
25,1,35500,P,1,11,,,59631,,41878,,,35496,1,1,1,1,1,1,,,771493,4517953,,0,
25,1,24001,P,1,11,,33279,20673,,101,,,24000,1,1,1,1,1,1,,,1128830,4259945,,0,
25,1,2398,P,1,3,,2137,62453,,1109,,,228,1,1,1,1,1,1,,,1480224,4082062,,0,
25,1,43861,P,1,11,,13017,29503,,41864,,,43860,1,1,1,1,1,1,,,1243349,4190053,,1,
25,1,18763,P,1,11,,19453,47743,,50,,,18759,1,1,1,1,1,1,,,1008246,4542090,,0,
25,1,9325,P,1,11,,66451,72341,,63,,,659,1,1,1,1,1,1,,,1251076,4358579,,0,
25,1,42707,P,1,11,,63195,47603,,41867,,,42705,1,1,1,1,1,1,,,906899,4553349,,0,
25,1,43194,P,1,8,,60331,31817,,41864,,,43193,1,1,1,1,1,1,,,1244615,4186981,,1,
25,1,26913,P,1,11,,63617,1079,,25,,,26911,1,1,1,1,1,1,,,1076548,4424790,,0,
25,1,44361,P,1,10,,39693,70467,,41864,,,44359,1,1,1,1,1,1,,,1244364,4182103,,1,
25,1,22190,P,1,11,,18703,30991,,41873,,,22189,1,1,1,1,1,1,,,1126490,4376242,,0,
25,1,37935,P,1,11,,60719,40301,,41889,,,37928,1,1,1,1,1,1,,,1213957,4549515,,0,
25,1,9246,P,1,11,,21915,22737,,118,,,653,1,1,1,1,1,1,,,1217852,4634604,,0,
25,1,28466,P,1,11,,,44895,,119,,,28463,1,1,1,1,1,1,,,1185774,4559116,,0,
25,1,33312,P,1,11,,33611,3027,,41864,,,33309,1,1,1,1,1,1,,,1250665,4183874,,0,
25,1,35178,P,1,11,,14619,73571,,67,,,35173,1,1,1,1,1,1,,,1373318,4274942,,0,
25,1,7058,P,1,11,,11225,17545,,13,,,467,1,1,1,1,1,1,,,1696036,3916687,,0,
25,1,21607,P,1,11,,48031,44379,,23,,,21606,1,1,1,1,1,1,,,1157282,4478954,,0,
25,1,8352,P,1,11,,1219,48579,,93,,,579,1,1,1,1,1,1,,,1510609,3791238,,0,
